month,order_date,order_num,quantity,order_status,sup_name,reseller_state,gst_amount,end_customer_state,gst_rate,meesho_price,net_commission,commission_gst,shipping_charges_total,gst,taxable_shipping,shipping_gst_18_percent,tcs_taxable_amount,end_customer_state_new,financial_year,supplier_id,AMT
2/1/2025,2/14/2025,121921,1,Delivered,Streets Shopping,Jharkhand,10.57142857,Jharkhand,5,222,0,0,0,1.05,55.23809524,9.942857143,211.4285714,JHARKHAND,2025,1014070,211.4285714
2/1/2025,2/7/2025,119308,1,rto,Streets Shopping,Maharashtra,13,Maharashtra,5,273,0,0,0,1.05,62.85714286,11.31428571,260,MAHARASHTRA,2025,1014070,260
2/1/2025,2/12/2025,121193,1,Delivered,Streets Shopping,Telangana,11.9047619,Telangana,5,250,0,0,0,1.05,44.76190476,8.057142857,222.8571429,TELANGANA,2025,1014070,222.8571429
2/1/2025,2/1/2025,117308,1,Delivered,Streets Shopping,Madhya Pradesh,15,Madhya Pradesh,5,315,0,0,0,1.05,55.23809524,9.942857143,300,MADHYA PRADESH,2025,1014070,300
2/1/2025,2/21/2025,124520,1,Return,Streets Shopping,Haryana,11.80952381,Haryana,5,248,0,0,0,1.05,33.33333333,6,211.4285714,HARYANA,2025,1014070,211.4285714
null,2/11/2025,120840,1,Cancelled,Streets Shopping,Odisha,11.42857143,Odisha,5,240,0,0,0,1.05,55.23809524,9.942857143,228.5714286,ODISHA,2025,1014070,228.5714286
2/1/2025,2/4/2025,118367,1,Delivered,Streets Shopping,Maharashtra,10.66666667,Maharashtra,5,224,0,0,0,1.05,55.23809524,9.942857143,213.3333333,MAHARASHTRA,2025,1014070,213.3333333
2/1/2025,2/10/2025,120387,1,Delivered,Streets Shopping,Andhra Pradesh,15,Andhra Pradesh,5,315,0,0,0,1.05,55.23809524,9.942857143,300,ANDHRA PRADESH,2025,1014070,300
null,9/4/2024,627952,1,Cancelled,Streets Shopping,Rajasthan,0,Rajasthan,5,0,0,0,0,0,-23.80952381,-4.285714286,0,RAJASTHAN,2025,1014070,0
null,2/22/2025,124743,1,Cancelled,Streets Shopping,Jharkhand,11.71428571,Jharkhand,5,246,0,0,0,1.05,58.0952381,10.45714286,234.2857143,JHARKHAND,2025,1014070,234.2857143
2/1/2025,2/11/2025,120696,1,Delivered,Streets Shopping,Tamil Nadu,17.85714286,Tamil Nadu,5,375,0,0,0,1.05,38.0952381,6.857142857,340,TAMIL NADU,2025,1014070,340
2/1/2025,2/5/2025,118774,1,rto,Streets Shopping,Maharashtra,11.85714286,Maharashtra,5,249,0,0,0,1.05,57.14285714,10.28571429,237.1428571,MAHARASHTRA,2025,1014070,237.1428571
2/1/2025,2/11/2025,120894,1,Return,Streets Shopping,Madhya Pradesh,11.42857143,Madhya Pradesh,5,240,0,0,0,1.05,55.23809524,9.942857143,228.5714286,MADHYA PRADESH,2025,1014070,228.5714286
null,11/2/2024,840556,1,Cancelled,Streets Shopping,Haryana,0,Haryana,5,0,0,0,0,0,-28.57142857,-5.142857143,0,HARYANA,2025,1014070,0
2/1/2025,2/12/2025,121240,1,Delivered,Streets Shopping,Uttar Pradesh,11.9047619,Uttar Pradesh,5,250,0,0,0,1.05,42.85714286,7.714285714,220.952381,UTTAR PRADESH,2025,1014070,220.952381
2/1/2025,2/18/2025,123455,1,Delivered,Streets Shopping,Maharashtra,18.80952381,Maharashtra,5,395,0,0,0,1.05,62.85714286,11.31428571,376.1904762,MAHARASHTRA,2025,1014070,376.1904762
2/1/2025,2/9/2025,120056,1,Delivered,Streets Shopping,Tamil Nadu,17.42857143,Tamil Nadu,5,366,0,0,0,1.05,63.80952381,11.48571429,348.5714286,TAMIL NADU,2025,1014070,348.5714286
2/1/2025,2/24/2025,125488,1,Delivered,Streets Shopping,West Bengal,11.9047619,West Bengal,5,250,0,0,0,1.05,60,10.8,238.0952381,WEST BENGAL,2025,1014070,238.0952381
2/1/2025,2/4/2025,118237,1,Return,Streets Shopping,Chhattisgarh,11.66666667,Chhattisgarh,5,245,0,0,0,1.05,38.0952381,6.857142857,216.1904762,CHHATTISGARH,2025,1014070,216.1904762
2/1/2025,2/26/2025,126039,1,Shipped,Streets Shopping,Madhya Pradesh,11.80952381,Madhya Pradesh,5,248,0,0,0,1.05,58.0952381,10.45714286,236.1904762,MADHYA PRADESH,2025,1014070,236.1904762
2/1/2025,2/17/2025,123034,1,Delivered,Streets Shopping,West Bengal,12.85714286,West Bengal,5,270,0,0,0,1.05,40.95238095,7.371428571,240.952381,WEST BENGAL,2025,1014070,240.952381
2/1/2025,2/16/2025,122584,1,rto,Streets Shopping,Bihar,14.28571429,Bihar,5,300,0,0,0,1.05,64.76190476,11.65714286,285.7142857,BIHAR,2025,1014070,285.7142857
2/1/2025,2/12/2025,121300,1,Return,Streets Shopping,Maharashtra,18.66666667,Maharashtra,5,392,0,0,0,1.05,49.52380952,8.914285714,362.8571429,MAHARASHTRA,2025,1014070,362.8571429
